time,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3
2013-03-01 00:00,2013,3,1,0,7.0,7.0,3.0,2.0,100.0,91.0
2013-03-01 01:00,2013,3,1,1,4.0,4.0,3.0,,100.0,92.0
2013-03-01 02:00,2013,3,1,2,4.0,4.0,,,100.0,91.0
2013-03-01 03:00,2013,3,1,3,3.0,3.0,3.0,2.0,,
2013-03-01 04:00,2013,3,1,4,3.0,3.0,7.0,,300.0,86.0
2013-03-01 05:00,2013,3,1,5,4.0,4.0,3.0,3.0,200.0,85.0
2013-03-01 06:00,2013,3,1,6,3.0,6.0,33.0,7.0,300.0,82.0
2013-03-01 07:00,2013,3,1,7,3.0,10.0,13.0,13.0,400.0,71.0
2013-03-01 08:00,2013,3,1,8,3.0,13.0,34.0,38.0,800.0,45.0
2013-03-01 09:00,2013,3,1,9,17.0,36.0,50.0,28.0,700.0,60.0
2013-03-01 10:00,2013,3,1,10,19.0,32.0,5.0,3.0,300.0,85.0
2013-03-01 11:00,2013,3,1,11,10.0,11.0,3.0,,300.0,87.0
2013-03-01 12:00,2013,3,1,12,3.0,6.0,5.0,3.0,300.0,86.0
2013-03-01 13:00,2013,3,1,13,3.0,6.0,7.0,3.0,300.0,87.0
2013-03-01 14:00,2013,3,1,14,3.0,6.0,9.0,6.0,300.0,87.0
2013-03-01 15:00,2013,3,1,15,3.0,3.0,4.0,3.0,200.0,89.0
2013-03-01 16:00,2013,3,1,16,3.0,6.0,16.0,6.0,300.0,86.0
2013-03-01 17:00,2013,3,1,17,4.0,10.0,13.0,12.0,300.0,80.0
2013-03-01 18:00,2013,3,1,18,4.0,12.0,10.0,15.0,300.0,76.0
2013-03-01 19:00,2013,3,1,19,9.0,18.0,24.0,22.0,500.0,68.0
2013-03-01 20:00,2013,3,1,20,20.0,24.0,22.0,24.0,500.0,65.0
2013-03-01 21:00,2013,3,1,21,23.0,29.0,27.0,16.0,400.0,71.0
2013-03-01 22:00,2013,3,1,22,13.0,20.0,23.0,18.0,400.0,68.0
2013-03-01 23:00,2013,3,1,23,13.0,24.0,50.0,23.0,400.0,61.0
2013-03-02 00:00,2013,3,2,0,15.0,21.0,44.0,28.0,500.0,57.0
2013-03-02 01:00,2013,3,2,1,9.0,16.0,28.0,17.0,400.0,67.0
2013-03-02 02:00,2013,3,2,2,11.0,13.0,40.0,16.0,300.0,67.0
2013-03-02 03:00,2013,3,2,3,8.0,15.0,27.0,17.0,400.0,64.0
2013-03-02 04:00,2013,3,2,4,13.0,15.0,47.0,26.0,400.0,56.0
2013-03-02 05:00,2013,3,2,5,15.0,18.0,42.2688,26.4837,,56.1204
2013-03-02 06:00,2013,3,2,6,12.0,17.0,21.0,11.0,400.0,63.0
2013-03-02 07:00,2013,3,2,7,7.0,11.0,11.0,18.0,500.0,45.0
2013-03-02 08:00,2013,3,2,8,14.0,11.0,61.0,44.0,600.0,28.0
2013-03-02 09:00,2013,3,2,9,22.0,31.0,63.0,60.0,800.0,18.0
2013-03-02 10:00,2013,3,2,10,31.0,49.0,48.0,33.0,500.0,43.0
2013-03-02 11:00,2013,3,2,11,27.0,35.0,79.0,47.0,600.0,35.0
2013-03-02 12:00,2013,3,2,12,36.0,50.0,73.0,50.0,700.0,38.0
2013-03-02 13:00,2013,3,2,13,31.0,47.0,41.0,39.0,500.0,48.0
2013-03-02 14:00,2013,3,2,14,28.0,37.0,25.0,34.0,400.0,54.0
2013-03-02 15:00,2013,3,2,15,26.0,31.0,25.0,50.0,600.0,40.0
2013-03-02 16:00,2013,3,2,16,29.0,41.0,27.0,60.0,700.0,30.0
2013-03-02 17:00,2013,3,2,17,36.0,52.0,44.0,81.0,800.0,16.0
2013-03-02 18:00,2013,3,2,18,44.0,67.0,42.0,91.0,1000.0,5.0
2013-03-02 19:00,2013,3,2,19,53.0,70.0,36.0,100.0,1100.0,2.0
2013-03-02 20:00,2013,3,2,20,52.0,71.0,42.0,100.0,1800.0,2.0
2013-03-02 21:00,2013,3,2,21,97.0,103.0,34.0,88.0,1600.0,2.0
2013-03-02 22:00,2013,3,2,22,89.0,89.0,30.0,83.0,1600.0,2.0
2013-03-02 23:00,2013,3,2,23,80.0,83.0,30.0,77.0,1399.0,2.0
2013-03-03 00:00,2013,3,3,0,62.0,70.0,22.0,66.0,1300.0,2.0
2013-03-03 01:00,2013,3,3,1,51.0,63.0,20.0,52.0,1000.0,6.0
